spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,1.8595015259409968,2.711924198250729,2.8146482300884954,2.9948522255192875,3.1425639097744362,3.16820423648435,3.3018384105960266,3.4146256445513927,3.570939306358381,3.6086578947368415,0.498774558,0.555561826,0.021454252,0.164185726,0.021593299,0.045753923,0.788552224,0.780905762,0.28982809,0.085801247
S11111,1.8946870229007633,2.91259919493962,2.95460081823495,3.0783636363636364,3.1260161943319837,3.2255587096774194,3.2660628066732094,3.3627732342007435,3.536361686919228,3.6644505576208175,0.565763768,0.32904642,0.219409814,0.080682819,0.189108629,0.556770658,0.64018185,0.003662396,0.327492194,0.03829613
S11111,1.9292976232706636,2.9118614544409316,2.973025309005297,3.1019839456622416,3.1469513649199876,3.169989876621322,3.2153770491803275,3.3699268292682927,3.423087900723888,3.462840782122905,0.885396889,0.228556096,0.519959969,0.051753023,0.835187314,0.036207018,0.040632944,0.015752194,0.095825441,0.325371387
S11111,1.9448952176249326,2.890649942987457,3.1434403008461294,3.2746850393700786,3.3275070140280563,3.3719769491525424,3.407259259259259,3.5216072572038417,3.5524051724137933,3.7766810146041507,0.438326386,0.516447533,0.074460042,0.007745584,0.194207021,1.932092581,0.017891423,0.02154373,0.008670598,0.637269466
S11111,1.96990976896489,3.0154473684210528,3.1096631578947367,3.209853705486044,3.241436912098605,3.335494976557267,3.3425196374622357,3.3771144312393884,3.722184568835099,3.7979071925754058,0.586306929,0.606966822,0.042014461,0.202765941,0.249606242,0.106021927,1.5534493,0.036431573,0.404583297,0.008775799
S11111,1.9549819754866617,2.7201042553191486,2.9924962941002073,3.032317183268131,3.087594594594594,3.2237021276595748,3.3730030518819936,3.412517347990381,3.6194257425742573,3.698096132181749,0.567085216,0.438705847,0.059198168,0.106763951,0.110667011,0.066868695,0.249354219,2.048935325,0.081668156,0.03337134
S11111,2.0783174849602175,2.8891999999999998,3.1062448979591837,3.14168806764798,3.2209217391304343,3.2508590953465664,3.3395050301810865,3.432663900414938,3.445525,3.6436106390838563,0.60983601,0.667830197,0.159584634,0.139292209,0.017454379,0.063269857,0.001488011,0.052305623,1.437534729,0.162443932
S11111,1.9321108742004265,2.8208078735791515,3.0162458869279085,3.2255587096774194,3.241436912098605,3.36073556231003,3.3791743119266053,3.51709484902309,3.660753806164129,3.715812004530011,0.449755051,0.370432072,0.213555338,1.006439693,0.498950793,0.014798179,0.03169607,0.521762766,0.467087057,0.038895392
S11111,1.8898657903839498,2.7270701520405445,2.9244610051993067,2.973025309005297,3.2107727856225927,3.2302106623586426,3.3067402985074623,3.3165930116472544,3.6194257425742573,3.650935949648278,0.598233074,0.461598066,0.245601731,0.090578261,0.363105511,0.032365445,0.351040828,0.610855078,0.081498112,0.296349377
S11111,1.9794184812442817,2.7385574912891983,3.0404255961364317,3.1036867469879517,3.1798514285714283,3.283358341559724,3.330497492477432,3.4083094339622644,3.5979606557377046,3.710731247644176,0.879967122,0.342898396,0.324483892,0.00462539,0.276193904,0.1633623,0.982360088,0.1666743,0.023376719,0.455227051
S11111,2.073623766208631,2.947,3.055967213114754,3.170883544303797,3.2632,3.303797216699801,3.343525856279382,3.388478527607362,3.6448292682926824,3.823456953642384,0.821160249,0.198536996,0.455509915,0.233259725,0.808010929,0.032137457,0.865770202,0.009817675,0.037870097,0.326493323
S11111,1.998467974824139,2.9917119146413755,3.0518599575628977,3.1122324140068174,3.1825529075309817,3.24802600780234,3.386405994550408,3.4093603294440635,3.4980593220338987,3.654610822831727,0.575063253,0.535812478,0.360394906,0.009116963,0.04155727,0.097065099,0.941003246,0.541469123,0.128491393,0.332649639
